rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
241,frame_0311.jpg,124.4,0.231,0.2745,0.2857,0.04,4,2,False,False
242,frame_0229.jpg,91.6,0.23,0.3422,0.1429,0.08,7,1,False,False
243,frame_0217.jpg,86.8,0.2293,0.2129,0.1429,0.4,2,1,False,False
244,frame_0092.jpg,36.8,0.2225,0.2473,0.1429,0.28,4,1,False,False
245,frame_0119.jpg,47.6,0.2074,0.2229,0.0,0.48,2,0,False,False
246,frame_0190.jpg,76.0,0.2067,0.2797,0.1429,0.12,3,1,False,False
247,frame_0223.jpg,89.2,0.2042,0.3445,0.0,0.16,4,0,False,False
248,frame_0186.jpg,74.4,0.2041,0.3065,0.1429,0.04,7,1,False,False
249,frame_0103.jpg,41.2,0.203,0.2562,0.1429,0.16,4,1,False,False
250,frame_0391.jpg,156.4,0.1961,0.2904,0.1429,0.04,8,1,False,False
251,frame_0393.jpg,157.2,0.1954,0.2891,0.1429,0.04,5,1,False,False
252,frame_0324.jpg,129.6,0.1893,0.2608,0.1429,0.08,4,1,False,False
253,frame_0383.jpg,153.2,0.1873,0.3267,0.0,0.12,6,0,False,False
254,frame_0102.jpg,40.8,0.1774,0.221,0.1429,0.12,4,1,False,False
255,frame_0172.jpg,68.8,0.1636,0.1672,0.0,0.4,5,0,False,False
256,frame_0110.jpg,44.0,0.1152,0.1823,0.0,0.12,4,0,False,False
